Account_ID,Customer_ID,Date_Opened,Account_Type,Opened_Legitimately,Branch_Location,Employee_ID,Number_of_Accounts_per_Customer,Time_Since_Last_Account_Opened,Employee_Tenure,Account_Opening_Method
3cc8f41e-0b05-468a-af28-9304d7f291e2,e7c58bc1-fd86-435f-bb33-22c0f6a2f401,8/20/2024,Credit,No,Russellport,a2b44acc-ea3a-46a9-a466-31c234c7b1a6,5,278,8,Online
acd753fb-3e82-43d5-805e-dd1a3c5e0bc8,2260b2eb-48b1-46cf-b5c5-c524d851023e,3/1/2024,Credit,Yes,Dennisside,dceb406d-cdcd-4374-8ae1-b015afaa8384,5,227,9,In-Person
22246b1f-59e0-47f1-9c25-b73ea55c1fe8,776b12b6-1cbe-4815-bc0a-0621178592ff,5/28/2025,Checking,Yes,Jonathanberg,6891c8f0-f936-4099-be72-18c9bbec3248,5,321,8,In-Person
5b352471-d6d4-4e31-9544-9fa64ab69810,c3f6379a-f1b6-41c0-8461-62814a8327fa,12/11/2023,Checking,Yes,New Davidmouth,502012b8-98e5-4416-87b8-476e06edc793,5,88,7,Online
8ca07910-388c-48be-87cd-897c645f996f,e8dd0e69-19d6-4444-892b-de7ecf740f5a,8/10/2022,Credit,Yes,Colonfurt,0964b9fa-3db1-4283-b39b-f9da625e0c1f,3,58,10,Phone
03b55a67-a6d0-4c10-ab3d-1e2532c2ea38,394fe0cb-147b-47b6-8270-d3a1cc58734a,5/19/2025,Savings,No,Wadeland,b7bfcfd7-f210-4327-9686-bd49eeeb7dec,3,257,2,In-Person
dcaf3bfa-4b2f-4ebe-8729-5c4d2beab969,e5b10c20-b8fd-4730-8d9a-f80c3a20f8fb,1/18/2025,Savings,Yes,Nataliemouth,550ce4cb-0d98-467e-b8fc-4a60c40d9b68,4,149,1,Phone
ba5d6dc5-fd48-4370-9560-c06a17944263,254327ca-c2b4-49d6-a157-a6c55a78096c,8/3/2020,Checking,No,Morganhaven,e96aeb45-b025-4f1e-8eeb-cbd82a04fa94,3,2,4,In-Person
698c1d1e-cf06-4681-81a6-04755bc72aab,7f7dc953-bbd4-4c3d-aabc-323f87dc79e3,6/2/2021,Savings,Yes,Lake Tabithashire,35cc5ede-7c44-4ce8-8967-f94e11336ee6,4,199,4,Phone
a7a87792-6ea1-4e7e-af2f-ddbbfe615aa2,7bea0ba6-2a71-4b92-8d7c-832b03bcad09,11/12/2020,Checking,No,New Ana,6650c9ae-acf9-4979-829b-723e596e7e52,4,290,1,Online
bde2bc8e-9c86-4624-9f36-ed6d9f504dce,01235486-e7dd-4021-a44f-37dd2fbc0da9,1/6/2020,Credit,Yes,Lake Katherinemouth,7c928c37-2a66-463e-8f57-8f5a88baef44,3,75,10,Online
39ce81c0-7b20-4873-8dd0-306e6e16d8ec,5a312aad-d605-491e-8dd9-182c4aaad373,4/12/2020,Savings,No,North Shannon,76eb40c0-a802-44df-ac4b-a627138cc104,2,260,2,In-Person
